Sampling Event Number,Survey Date,Analysis Date,Name of Analyser,Time Zone,Aquafluor Sample ID,Value,Channel,GEM Sample ID,Comment,Quality Flag,,,,,,,,,,,,,,,,,,,,
,9/16/2024,9/16/2024,Drew Jordison,PDT,0,0,TRB,Blank,,,,,,,,,,,,,,,,,,,,,,
,9/16/2024,9/16/2024,Drew Jordison,PDT,1,0.04,IVCH,Blank,,,,,,,,,,,,,,,,,,,,,,
,9/16/2024,9/16/2024,Drew Jordison,PDT,2,0,TRB,Blank,,,,,,,,,,,,,,,,,,,,,,
,9/16/2024,9/16/2024,Drew Jordison,PDT,3,0.148,IVCH,Blank,,,,,,,,,,,,,,,,,,,,,,
,9/16/2024,9/16/2024,Drew Jordison,PDT,4,11.28,IVCH,Solid Standard,,,,,,,,,,,,,,,,,,,,,,
1_1,9/16/2024,9/16/2024,Drew Jordison,PDT,5,6.829, IVCH,1_1_IVCH_1,,1,,,,,,,,,,,,,,,,,,,,
1_1,9/16/2024,9/16/2024,Drew Jordison,PDT,6,0,  TRB,1_1_TRB_1,,1,,,,,,,,,,,,,,,,,,,,
1_1,9/16/2024,9/16/2024,Drew Jordison,PDT,7,9.292, IVCH,1_1_IVCH_2,,1,,,,,,,,,,,,,,,,,,,,
1_1,9/16/2024,9/16/2024,Drew Jordison,PDT,8,0,  TRB,1_1_TRB_2,,1,,,,,,,,,,,,,,,,,,,,
1_1,9/16/2024,9/16/2024,Drew Jordison,PDT,9,7.551, IVCH,1_1_IVCH_3,,1,,,,,,,,,,,,,,,,,,,,
1_1,9/16/2024,9/16/2024,Drew Jordison,PDT,10,0,  TRB,1_1_TRB_3,,1,,,,,,,,,,,,,,,,,,,,
1_2,9/16/2024,9/16/2024,Drew Jordison,PDT,11,9.889, IVCH,1_2_IVCH_1,,1,,,,,,,,,,,,,,,,,,,,
1_2,9/16/2024,9/16/2024,Drew Jordison,PDT,12,0,  TRB,1_2_TRB_1,,1,,,,,,,,,,,,,,,,,,,,
1_2,9/16/2024,9/16/2024,Drew Jordison,PDT,13,12.71, IVCH,1_2_IVCH_2,,1,,,,,,,,,,,,,,,,,,,,
1_2,9/16/2024,9/16/2024,Drew Jordison,PDT,14,0,  TRB,1_2_TRB_2,,1,,,,,,,,,,,,,,,,,,,,
1_2,9/16/2024,9/16/2024,Drew Jordison,PDT,15,19.98, IVCH,1_2_IVCH_3,"Ran 4th rep: 14.46, will add at bottom",1,,,,,,,,,,,,,,,,,,,,
1_2,9/16/2024,9/16/2024,Drew Jordison,PDT,16,0,  TRB,1_2_TRB_3,,1,,,,,,,,,,,,,,,,,,,,
1_3,9/16/2024,9/16/2024,Drew Jordison,PDT,17,12.27, IVCH,1_3_IVCH_1,,1,,,,,,,,,,,,,,,,,,,,
1_3,9/16/2024,9/16/2024,Drew Jordison,PDT,18,0,  TRB,1_3_TRB_1,,1,,,,,,,,,,,,,,,,,,,,
1_3,9/16/2024,9/16/2024,Drew Jordison,PDT,19,13.53, IVCH,1_3_IVCH_2,,1,,,,,,,,,,,,,,,,,,,,
1_3,9/16/2024,9/16/2024,Drew Jordison,PDT,20,0,  TRB,1_3_TRB_2,,1,,,,,,,,,,,,,,,,,,,,
1_3,9/16/2024,9/16/2024,Drew Jordison,PDT,21,9.884, IVCH,1_3_IVCH_3,,1,,,,,,,,,,,,,,,,,,,,
1_3,9/16/2024,9/16/2024,Drew Jordison,PDT,22,0,  TRB,1_3_TRB_3,,1,,,,,,,,,,,,,,,,,,,,
1_5,9/16/2024,9/16/2024,Drew Jordison,PDT,23,14.84, IVCH,1_5_IVCH_1,,1,,,,,,,,,,,,,,,,,,,,
1_5,9/16/2024,9/16/2024,Drew Jordison,PDT,24,0,  TRB,1_5_TRB_1,,1,,,,,,,,,,,,,,,,,,,,
1_5,9/16/2024,9/16/2024,Drew Jordison,PDT,25,10.4, IVCH,1_5_IVCH_2,,1,,,,,,,,,,,,,,,,,,,,
1_5,9/16/2024,9/16/2024,Drew Jordison,PDT,26,0,  TRB,1_5_TRB_2,,1,,,,,,,,,,,,,,,,,,,,
1_5,9/16/2024,9/16/2024,Drew Jordison,PDT,27,10.75, IVCH,1_5_IVCH_3,,1,,,,,,,,,,,,,,,,,,,,
1_5,9/16/2024,9/16/2024,Drew Jordison,PDT,28,0,  TRB,1_5_TRB_3,,1,,,,,,,,,,,,,,,,,,,,
,9/16/2024,9/16/2024,Drew Jordison,PDT,29,0.355, IVCH,Blank,,,,,,,,,,,,,,,,,,,,,,
,9/16/2024,9/16/2024,Drew Jordison,PDT,30,0.333, IVCH,Blank,,,,,,,,,,,,,,,,,,,,,,
,9/16/2024,9/16/2024,Drew Jordison,PDT,31,11.22, IVCH,Solid Standard,,,,,,,,,,,,,,,,,,,,,,
1_2,9/16/2024,9/16/2024,Drew Jordison,PDT,32,14.46, IVCH,1_2_IVCH_4,,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
